docid,label
2535443526,000000100
2487195007,000001000
2573583192,100000000
2213029015,000001000
2218957610,000001000
2391598517,000001000
2259270276,100000000
2557607059,000001000
2496620329,000001000
2578345486,000001000
2487453039,000000001
2247808824,001000000
2452564785,100000000
2322930376,000001000
2324483304,000000100
2213034341,000010000
2270872679,000010000
2509712169,000001000
2401648642,000001000
2475156512,000001000
2246284079,100000000
2261899261,000000100
2229591894,100000000
2351976972,000000001
2414907841,000001000
2387093053,000001000
2592285124,000000100
2156571570,000001000
2182518814,000000001
2173073482,000001000
2357480465,000001000
2301320337,000001000
2173119689,000001000
2266012560,000000001
2470407492,000000010
2383923420,000000100
2425713473,001000000
2516945419,000001000
2447987790,000010000
2161714740,100000000
2367625857,100000000
2295664977,100000000
2503148489,100000000
2546575722,000001000
2417761380,100000000
2242259347,000001000
2559311509,000001000
2351955748,000001000
2449647737,000001000
2401691223,000000010
2349038886,000001000
2526317376,000001000
2466529967,000001000
2360391522,000001000
2336723164,000001000
2378004373,000001000
2292658768,000001000
2307984518,000001000
2382211388,000001000
2291149026,000000100
2350422812,000001000
2559289785,000000100
2204953052,000001000
2423045715,000001000
2234364605,000001000
2362749361,000000001
2592032855,000001000
2238816136,000001000
2496640445,000000001
2184204739,000001000
2209579271,000001000
2161769514,000001000
2336664964,000000001
2487430781,000010000
2185879343,001000000
2340968317,000001000
2596917373,000001000
2328043147,000000001
2413340506,000100000
2376672821,000001000
2213029055,000001000
2154502236,000001000
2187428142,000001000
2195316378,000001000
2177978562,000000001
2329247337,000000001
2484193772,000000001
2265892347,100000000
2496669309,000000100
2354576663,000001000
2266011770,000001000
2263371354,000010000
2517108886,000001000
2484192994,000001000
2281059171,000001000
2378007933,000001000
2317912627,000000100
2493535031,000001000
2319456977,000001000
2576467661,100000000
2347553899,000001000
2432124743,100001001
2588383710,000001000
2347553845,000000010
2174688853,000010000
2511642943,000001000
2232812981,000000010
2247824612,000001000
2300025310,000001000
2305692875,000001000
2178051127,000001000
2573607233,000010000
2176468363,000000001
2316513777,000001000
2436345796,000000100
2589901764,000001000
2329201073,000001000
2319505377,100000000
2269662544,000000100
2511662188,000010000
2310856340,000001000
2286046377,000001000
2367618096,000001000
2513311310,000001000
2302671580,000000001
2530862846,000001000
2564256656,000000100
2180829910,100000000
2564211421,100000000
2475177394,000001000
2501437552,000001000
2532354420,000001000
2460783049,100000000
2283779318,000010000
2564281820,000100000
2554819978,000001000
2322930846,000001000
2588366168,100000000
2345274514,000001000
2509671995,000100000
2557621898,000100000
2273857399,000100000
2532308595,000001000
2199838449,000001000
2196865631,000001000
2292576738,000001000
2554775425,000001000
2377961985,000001000
2523128910,100000000
2592336604,000000100
2452391586,000001000
2447966537,000010000
2338964263,000000010
2395937479,000001000
2329253791,000001000
2358776288,000001000
2223746956,000010000
2255063347,000001000
2472130683,100000000
2401668329,000000001
2529087026,000001000
2506685399,000100000
2308216571,000001000
2573603312,000100000
2501429063,000001000
2292576580,000001000
2309598221,000000100
2358780007,000001000
2312225662,000001000
2484493084,000001000
2193560015,000001000
2220605403,000001000
2201666680,000001000
2592038109,000010000
2538190358,000000100
2557623135,000000001
2535352866,000001000
2242303662,000001000
2163340532,000001000
2454920512,000000010
2251022828,000001000
2252226601,000001000
2509696321,000001000
2540970276,000000001
2253582814,000010000
2357776285,000001000
2463555609,000001000
2231359517,000001000
2542657597,000001000
2336708093,000001000
2358752482,000001000
2538209122,000001000
2242102185,000001000
